Account,Date,Issue
4765702,1/3/2010,Other
32521503,1/1/2010,line problem [wo # 44163928]
55706101,1/1/2010,CBS Priority
24380303,1/1/2010,LINE PROBLEM PED WONT SHUT OT L;OCK.
20454029,1/2/2010,**install PRI no access to beast box...Per Mitchell Contractor.***
24678610,1/2/2010,**lock box not secureable..**
24685510,1/2/2010,**lock box not secureable** per glacier contractor
18940804,1/2/2010,WO# 44157557... 16/14@tap frequ 585 17@tap mer ranging from 35 to 26 with errors.
51174002,1/2/2010,S/N on freq117 (wo# 44160081)
7032103,1/2/2010,errors and low mer off tap - Work Order: 44159604
12230908,1/2/2010,-0.333333333
50179303,1/2/2010,Bad Levels (wo# 44158082)
50015801,1/2/2010,Bad levels (wo#44158100)
42435603,1/2/2010,14-May
13888208,1/2/2010,low signal and mer off tap - Work Order: 44161572
25701002,1/2/2010,low signal at tap**tech going back to get levels off correct channel - pls dont move yet**
35228807,1/2/2010,Line Problem no Upstream for data
30261801,1/2/2010,low levels out of tap [wo# 44158119]
30261709,1/2/2010,errors on 99 [wo# 44153044]
44568401,1/2/2010,5 cust feeding off of a 4 port tap. see other notes for more info. W/O## 44164792
7037404,1/2/2010,low mer and signal off tap...... Work Order: 44153047
38988701,1/2/2010,low levels out of tap [W/O#44163941]
36826901,1/2/2010,44162221
40103304,1/2/2010,lp
4767801,1/3/2010,"Work Order: 44164452.... 495 mhz pre and post off tap, customes up and down the block tiling"
50135403,1/3/2010,44168032...w/o number severe packet loss at the tap possible damaged by a fire
2087303,1/2/2010,17-Mar
17993606,1/2/2010,low levels on freq 585
58799501,1/2/2010,CBS Priority
54057001,1/2/2010,line problem (w0#44164376) **PRI NDT**
24148508,1/2/2010,line problem work order # [44164073]
39817802,1/2/2010,lp
13688902,1/2/2010,tiling on all channels and fdc -12 off tap [44164117]
18940905,1/2/2010,line problem [wo # 44163161]
5154804,1/2/2010,Black screen/Low signal @ 849 MHz
36738301,1/2/2010,**ONGOING NOISE ISSUE IN NODE PLS FOLLOW UP IN AM SEE ATTACHMENT FOR NOISE SHOT** AM PRI PLS**
11125710,1/3/2010,Per Chris Peak
42695402,1/3/2010,LP ~ nosynch
4765501,1/3/2010,Work Order: 44164453 Line Problem
19371414,1/3/2010,unsecure lock box
421205,1/3/2010,line problem
21574507,1/4/2010,line prob [wo # 44171771]
59282601,1/4/2010,w0# 44161728 noise on mainline per gary levels not solid up and down
7033312,1/3/2010,line problem - Work Order: 44164528
32372203,1/3/2010,Low levels (WO# 44164425)
61454801,1/3/2010,LP low levels Slow speeds internet
2040407,1/3/2010,LP wo# [44166461]
12259903,1/3/2010,slow speeds
40985301,1/3/2010,TVCLID Individual Customer Tiling
16213607,1/3/2010,high transmit at the tap and post errors on 99 if you sit on it
20505509,1/3/2010,unsecurable ped
41605501,1/3/2010,44168554 low MER off freq 519 28
54427401,1/3/2010,Put in for night work ESPN PPV not working
26942303,1/3/2010,tap levels little and tx is little high (wo# 44168467)
41028701,1/3/2010,line problem
34521903,1/3/2010,"digital tiling multiple freqs, low signal at tap"
8989811,1/4/2010,[WO# 44167234 ] ring no answer Calls are mis-directed. In question....412-77999
45404615,1/4/2010,beast box needs to be replaced
26916401,1/4/2010,line problem wo# 44167311
54148802,1/4/2010,line problem [w.o.#44165324]
56161002,1/4/2010,nolise in the node
41733201,1/4/2010,line problem
41752902,1/4/2010,line problem wo#44168293
14666415,1/4/2010,"line problem, high levels on 132 [WO# 44156875]"
28226901,1/4/2010,Line Problem Work Order: 44167446
12393404,1/4/2010,main line temp is on the ground
60105701,1/4/2010,CBS Priority raised noise floor
24819309,1/4/2010,"errors on line, low mer freq 693 WO# 44170424"
11303001,1/4/2010,Line problem
46536905,1/4/2010,WO [44168197] Modem dropping off line
18909613,1/4/2010,line problem [44168224] no sync bad levels jumping
54487602,1/4/2010,"Next level - Intermittent tiling, MTA offline (WO# 44169113)"
41522701,1/4/2010,TVCLID Individual Customer
37985203,1/4/2010,line problem
44580708,1/4/2010,rideout 01/04/10 wo#3178861
55730401,1/4/2010,CBS Priority Noise in node per soc Static on Phones NIU's
43326602,1/4/2010,rideout 01/04/10 wo#3178862
44896602,1/4/2010,rideout 01/04/10 wo#3178863
45117605,1/4/2010,rideout 01/14/10 wo#3178864
39679801,1/4/2010,LP
19974801,1/4/2010,"omments=Lady from the police dept. called in stating that one of our boxes at ne 43rd and prospect has been run over, she said a"
34879501,1/4/2010,Line Problem
45962702,1/4/2010,line problem
20207510,1/4/2010,Work Order: 44168952
9904502,1/4/2010,"line problem, low transmit [WO# 44168599]"
16415512,1/4/2010,line problem - Work Order: 44169062
5048601,1/4/2010,Low MER on 99 out of tap.
40521605,1/4/2010,"line problem ""44175267"""
2049001,1/4/2010,"tap levels low, SNR low and TX high (wo# 44168623)"
51557202,1/4/2010,line problem [w.o.#44168648]
55659201,1/4/2010,high levels and high transmit
2220502,1/4/2010,tap levels are low with ch.55 low snr (wo# 44168674)
11303804,1/5/2010,s/n issues-errors off tap..[WO# 44172412]
54597601,1/5/2010,CBS Priority
19562702,1/5/2010,44171177
60316601,1/5/2010,"low transmit at tap, problems on both HSI freqs"
21139706,1/5/2010,was installing hsi service....tap is dead at pole......tried both ports
59625101,1/5/2010,CBS Priority Packet Loss Broken Tap and Theft of Service
9599602,1/5/2010,LP wo# [44173200]
53714801,1/5/2010,Cbs Priority Other - clicking on phone and dropped calls on both NIUs
25292201,1/5/2010,w/o# 44179268 clicking on line swapped niu's some on new one
60934301,1/5/2010,"noise in the node, verified with SOC WO# 44172376"
54057001,1/5/2010,tap no ac.
25612205,1/5/2010,broken ports on tap and tap may need an audit
62180901,1/5/2010,"line issue, CBS PRIORITY, noise issue, multiple customers in node with packet loss, HD0000020459705"
45483707,1/5/2010,mainline maybe or drop hanging low in front of customer house
10423211,1/5/2010,585.00 and 591.00 no mer lock at tap
28829702,1/5/2010,line problem wo# [44176070]
13924112,1/5/2010,line problem WO#44175514
23810410,1/5/2010,port #2 is broken and unable to be terminated
51092905,1/5/2010,line problem wo# 44178806
21535611,1/5/2010,*next level* intmt tiling freq 645 and 717 wo# [44179209]
47661402,1/5/2010,Work Order: 44172287 low data speeds
23531215,1/5/2010,"[WO# 44179533 ]: -pending customer-OIKC Account #: 235312-15, Our customer not able to recieve calls from her sister in Maryland"
62172801,1/5/2010,CBS Priority low levels digital not working
9659202,1/5/2010,deep hole in mainline
4761101,1/5/2010,"**NIGHTWORK** very low lvls, random MER,"
23257012,1/5/2010,line problem [w.o.#44176349] no dial tone
1350405,1/6/2010,line problem WO# 44176633
52267902,1/6/2010,line problem (WO#44178650)
38611817,1/6/2010,Lockbox needs replace unsecure
23906315,1/6/2010,Low Levels at tap 23906315
9615501,1/6/2010,frek 585 unlocked per and post errors
33541605,1/6/2010,digital tiling -- low MER on tap
8245905,1/6/2010,line problem wo# 44174187
18782506,1/6/2010,"Int No Dial Tone Low Tx, Bad MER ch 99 [wo #44182122]"
0,1/6/2010,daily driveout 01/06/10 [WO# 3184067]
40277702,1/6/2010,lp wo# [44150253]
25857104,1/6/2010,low and high levels on 3 and 132 wo# 44183762
34492507,1/6/2010,line problem [w.o.#34492507]
40104604,1/6/2010,Tap Replacement both ports are broken doing new install call 615-7763
